Symbol,Name,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
CSA,Cogdell Spencer,6.65,6.98,6.57,6.95,0.46,7.09,302115,8.52,2.62,0.4,5.76,77.22,22.79
CNS,Cohen&Steers,23.87,24.82,23.38,24.82,1.65,7.12,165881,29.2,13.05,0.4,1.61,49.64,8.67
CFX,Colfax,12.02,12.16,11.81,12.16,0.44,3.75,174301,13.97,7.21,,,38,1
CL,Colgate-Palmolive,78.81,79.22,78.27,78.77,0.79,1.01,2670944,87.39,62.9,2.12,2.69,19.31,-4.11
PSS,Collective Brands,21.72,22.43,21.49,22.42,1.24,5.85,769224,26.65,12.53,,,17.25,-1.54
CLP,Colonial Properties Trust,14.72,15.32,14.55,15.29,0.93,6.48,1315197,17.27,6.58,0.6,3.92,,30.35
CLNY,Colony Financial,17.83,18.48,17.66,18.46,0.85,4.83,109738,21,17.28,0.23,,,-9.38
CMA,Comerica,38.71,39.11,38.12,39.08,1.1,2.9,2736838,45.84,19.68,0.2,0.51,,32.16
CMA%,Comerica Wt,14.75,15,14.35,14.91,0.71,5,28591,18.05,12.9,,,,
FIX,Comfort Systems USA,10.56,11.06,10.49,11.02,0.7,6.78,244232,14.5,8.62,0.2,1.81,15.1,-10.7
CMC,Commercial Metals,15.63,16.02,15.47,16.02,0.81,5.33,1460067,21.29,12.66,0.48,3,,2.36
CTV,Commscope,28.35,28.93,27.9,28.92,1.36,4.93,825313,34.95,22.64,,,32.13,9.01
CBU,Community Bank System,22.51,23.35,22.3,23.29,1.21,5.48,189114,26.49,13.78,0.96,4.12,17.13,20.61
CYH,Community Health Systems,39.35,40.1,39.27,39.99,1.54,4.01,1570185,42.3,23.36,,,14.49,12.33
SBS,Companhia de Saneamento Basico do Estado de Sao Paulo ADS,36.75,37.47,36.42,37.47,1.81,5.08,305152,43.66,26.77,0.16,0.43,7.35,-4.22
CIGC,Companhia Energetica de Minas Gerais-Cemig ADS,11.06,11.37,10.69,10.69,-0.49,-4.38,1400,15.3,9.5,0.86,,,
CIG,Companhia Energetica de Minas Gerais-Cemig ADS,14.63,14.7,14.44,14.62,0.24,1.67,1658309,17.77,10.91,1.54,,13.29,-6.63
ELP,Companhia Paranaense de Energia-COPEL ADS,18.8,18.86,18.58,18.77,0.56,3.08,682973,23.29,13.01,0.17,0.91,,-12.49
SID,Companhia Siderurgica Nacional ADS,14.87,15.34,14.71,15.34,1.03,7.2,6741353,21.02,9.73,0.71,4.63,8.87,-3.91
CMP,Compass Minerals International,75.5,77.36,75.09,77.36,2.78,3.73,380533,82.65,45.64,1.56,2.02,13.6,15.14
CML,Compellent Technologies,12.45,12.95,12.38,12.95,0.77,6.32,313428,24.95,10.96,,,143.89,-42.9
CPX,Complete Production Services,12.95,13.36,12.76,13.35,0.85,6.8,965551,16.06,5.45,,,,2.69
CMZ,Compton Petroleum,0.73,0.8,0.72,0.8,0.07,9.59,647660,1.69,0.65,,,3.64,-13.04
CSC,Computer Sciences,49.35,49.85,49.12,49.84,1.3,2.68,1129357,58.36,41.16,0.15,,9.46,-13.37
CIX,CompX International Cl A,10.92,11.35,10.92,11.33,0.44,4.04,1300,13.47,5.04,0.5,4.41,,49.67
CRK,Comstock Resources,29.1,30,29.1,30,1.75,6.19,620890,49.14,26.67,,,,-26.05
CAG,ConAgra Foods,24.13,24.29,23.98,24.29,0.43,1.8,3091191,26.32,17.94,0.8,3.29,13.49,5.38
CXO,Concho Resources,50.31,51.86,50.2,51.81,3.01,6.17,1165732,59.72,25.17,,,66.42,15.39
CCM,Concord Medical Services Holdings ADS,6.25,6.48,6.22,6.39,0.28,4.58,72720,10.7,5.76,,,71,-26.04
COP,ConocoPhillips,50.9,52.23,50.31,52.21,2.64,5.33,15442244,60.53,38.62,2.2,4.21,13.78,2.23
CNX,Consol Energy,36.25,37.13,35.79,37.1,2.04,5.82,4847376,58,28.6,0.4,1.08,15.33,-25.5
ED,Consolidated Edison,42.52,42.86,42.34,42.74,0.47,1.11,1770152,46.45,34.73,2.38,5.57,13.03,-5.92
CGX,Consolidated Graphics,44.9,46.48,44.31,46.39,2.81,6.45,92675,48.48,15.22,,,38.02,32.47
STZ,Constellation Brands Cl A,16.33,16.71,16.32,16.7,0.62,3.86,1801002,18.87,11.15,,,37.95,4.83
STZB,Constellation Brands Cl B,16.4,16.65,16.4,16.65,0.5,3.1,200,18.74,11.26,,,,4
CEG,Constellation Energy Group,34.55,35.07,34.38,34.97,0.78,2.28,2513397,38.73,25.33,0.96,2.75,1.48,-0.57
CEP,Constellation Energy Partners LLC Un,3.22,3.33,3.16,3.17,-0.05,-1.55,67822,5.05,2,,,,-17.23
CAL,Continental Airlines Cl B,21.45,21.7,21.16,21.5,0.58,2.77,4011693,24.29,7.86,,,,19.98
CLR,Continental Resources,45.21,47.36,45.02,47.35,3.37,7.66,1333504,52.23,22.33,,,47.35,10.4
CVG,Convergys,10.93,11.01,10.76,11,0.28,2.61,674487,13.78,8.26,,,,2.33
CNW,Con-way,34.07,34.77,33.73,34.77,1.53,4.6,1379905,48.32,28.13,0.4,1.15,37.39,-0.4
COO,Cooper,35.93,37.06,35.88,37.02,1.56,4.4,302017,41.55,23.55,0.06,0.16,17.46,-2.89
CBE,Cooper Industries Cl A,47.36,47.78,46.94,47.78,1.33,2.86,1244861,51.74,28.73,1.08,2.26,17.9,12.05
CTB,Cooper Tire&Rubber,18.72,19.77,18.72,19.68,1.44,7.89,1339344,22.4,8.57,0.42,2.13,10.41,-1.85
CPA,Copa Holdings Cl A,49.74,51.48,49.63,51.47,2.86,5.88,312388,63.08,32.85,1.09,2.12,11,-5.51
CLB,Core Laboratories,137,140.9,136.45,140.35,6.18,4.61,240013,153.49,77.55,0.44,0.31,28.13,18.82
CLGX@,Corelogic Inc. Wi,19.34,19.59,19.09,19.59,0.26,1.35,6000,19.75,19.09,,,,
CPO,Corn Products International,33.11,33.61,32.89,33.61,1.12,3.45,410447,37.62,24.15,0.56,1.67,38.63,14.98
CRN,Cornell,26.67,27.05,26.48,27.01,0.82,3.13,111437,28.55,15.5,,,17.89,18.99
GLW,Corning,17.24,17.52,17.06,17.52,0.68,4.04,17744356,21.1,13.88,0.2,1.14,9.84,-9.27
BCA,CorpBanca ADS,40.76,42.49,40.03,42.49,1.09,2.63,22240,45.85,25.73,3.55,8.35,11.3,0.29
OFC,Corporate Office Properties Trust,37.16,38.13,36.84,38.11,1.71,4.7,548909,43.61,26.87,1.57,4.12,70.57,4.04
CXW,Corrections of America,19.97,20.19,19.87,20.11,0.38,1.93,643749,26.25,14.68,,,15.12,-18.09
CJR,Corus Entertainment Cl B NV,18.51,18.64,18.46,18.6,0.27,1.47,9150,20.97,10.26,0.6,,,-1.06
CZZ,Cosan Cl A,8.63,8.85,8.35,8.73,0.4,4.8,1239842,10.96,4.67,,,,0.34
COT,Cott,7.54,7.8,7.54,7.73,0.3,4.04,502957,9.39,4.53,,,8.22,-5.73
CUZ,Cousins Properties,7.6,7.77,7.46,7.76,0.35,4.72,591039,10.95,6.61,0.36,4.64,,1.7
CVD,Covance,52.5,54.17,52.12,54.13,2.4,4.64,1124552,63.53,40.32,,,20.05,-0.81
CVA,Covanta Holding,15.43,15.66,15.24,15.66,0.5,3.3,1219506,19.69,14.51,,,25.67,-13.43
CVH,Coventry Health Care,20.82,21.04,20.56,21.04,0.58,2.83,1031742,27.27,15.89,,,8.28,-13.38
COV,Covidien,42.2,42.65,41.97,42.54,1.09,2.63,3555418,52.48,33.71,0.72,1.69,18.26,-11.17
CR,Crane,31.81,32.69,31.3,32.66,1.52,4.88,359607,39.13,20.24,0.8,2.45,13.39,6.66
CRDA,Crawford Cl A,2.7,2.77,2.62,2.77,0.15,5.73,18497,4.74,2.4,,,,-17.07
CRDB,Crawford Cl B,3.33,3.37,3.13,3.35,0.08,2.45,38433,6,3,,,,-14.97
BAP,Credicorp,85.08,88.84,84.91,88.77,4.66,5.54,279723,91.37,54.82,1.7,1.92,14.48,15.26
CS,Credit Suisse Group ADS,38.72,39.84,38.35,39.84,2.03,5.37,2823287,60.08,37.04,1.85,,7.89,-18.96
CXS,Crexus Investment,12.73,12.92,12.51,12.9,0.33,2.63,86410,14.75,12.01,0.07,,,-7.59
CRT,Cross Timbers Royalty Trust,33.02,33.9,33.02,33.68,1.11,3.4,18167,39.48,22,2.41,7.16,15.89,-0.12
CCI,Crown Castle International,36.8,37.57,36.45,37.57,1.35,3.73,1337474,40.49,21.49,,,,-3.77
CCK,Crown Holdings,23.03,24.97,22.9,23.42,0.76,3.35,1485753,29.35,22,,,11.37,-8.44
CRU,Crude Carriers,16.05,16.39,15.85,16.3,0.55,3.49,125742,18.94,15,,,,
CRY,CryoLife,5.24,5.31,5.15,5.24,0.14,2.75,161852,8.87,4.55,,,17.47,-18.38
CUB,Cubic,36.77,37.3,36.38,37.24,1.19,3.3,64098,42.5,31.26,0.18,0.48,17.08,-0.16
CFR,Cullen/Frost Bankers,55.37,55.71,54.51,55.67,1.49,2.75,327670,60.78,43.59,1.8,3.23,18.37,11.34
CFI,Culp Inc.,12.54,13.17,12.54,12.99,0.37,2.93,39758,17.05,3.44,,,,30.16
CMI,Cummins,68.1,69.62,67.73,69.59,3.61,5.47,2377305,76.95,30.55,0.7,1.01,24.25,51.74
CW,Curtiss-Wright,31.97,32.37,31.69,32.3,0.96,3.06,101941,37.54,27.52,0.32,0.99,15.53,3.13
CVS,CVS Caremark,34.08,34.61,33.96,34.59,0.82,2.43,11948277,38.27,27.38,0.35,1.01,13.3,7.39
CYS,Cypress Sharpridge Investments,12.93,13,12.79,13,0.2,1.56,108604,14.89,7.88,2.2,16.92,,-3.77
CYT,Cytec Industries,42.62,43.69,42.13,43.69,2.28,5.51,351141,51.22,14.67,0.05,0.11,99.3,19.96
DPM,DCP Midstream Partners,29.9,30.1,29.45,29.97,1.23,4.28,129898,34.56,18.09,2.4,8.01,,1.35
DCT,DCT Industrial Trust,4.82,4.92,4.74,4.9,0.26,5.6,2536760,5.8,3.58,0.28,5.71,,-2.39
DHT,DHT Holdings,4.19,4.22,4.11,4.2,0.11,2.69,192349,5.82,3.3,0.35,,28,14.13
DPL,DPL,24.96,25.01,24.69,24.96,0.44,1.79,453997,28.86,21.3,1.21,4.85,12.48,-9.57
DST,DST Systems,38.36,38.83,37.94,38.83,0.94,2.48,616297,47.49,34.61,0.3,,7.86,-10.84
DSW,DSW Cl A,29.21,29.55,27.77,29.21,0.3,1.04,517106,33.49,9.3,,,16.79,12.87
DTE,DTE Energy,45.28,45.54,44.87,45.49,0.95,2.13,829229,49.05,29.24,2.12,4.66,12.74,4.36
DAI,Daimler AG,48.44,49.93,48.09,49.89,3.82,8.29,1210673,56.57,32.57,0.6,,,-6.4
DAN,Dana Holding,10.93,11.29,10.79,11.28,0.84,8.05,2578391,14.1,1.11,,,,4.06
DHR,Danaher,79.88,80.55,79.15,80.5,1.79,2.27,2438378,87.53,57.04,0.08,0.1,22.18,7.05
DHR@,Danaher Wi,39.5,39.5,39.5,39.5,,,100,39.82,39,,,,
DAC,Danaos,3.91,4.09,3.89,4.03,0.19,4.95,79860,6.99,2.72,,,6.11,-9.64
DRI,Darden Restaurants,42.66,43.79,42.63,43.74,1.68,3.99,1515360,49.01,29.94,1,2.29,14.98,24.72
DAR,Darling International,7.99,8.13,7.7,8.1,0.27,3.45,688736,9.75,6.08,,,13.97,-3.34
DVA,DaVita,61.39,63.22,61.39,63.17,2.61,4.31,1534813,66.81,44.41,,,15.15,7.54
DF,Dean Foods,10.44,10.74,10.34,10.74,0.38,3.67,4633916,22.09,9.38,,,9.42,-40.47
DE,Deere,57.24,59.49,57.24,59.44,3.3,5.88,5064317,63.68,34.9,1.2,2.02,25.84,9.89
DLM,Del Monte Foods,14.51,14.73,14.11,14.73,0.56,3.95,1015031,16.14,7.6,0.2,1.36,11.98,29.89
DK,Delek US Holdings,6.57,6.64,6.46,6.61,0.16,2.48,52825,10.8,5.65,0.15,2.27,,-2.94
DEG,Delhaize Group ADS,79.15,81.3,78.9,80.39,1.33,1.68,18081,85.42,63.91,2.02,2.51,11.77,4.78
DFG,Delphi Financial Group Cl A,25.55,26.52,25.55,26.44,1.44,5.76,326943,28.8,17.16,0.4,1.51,12.59,18.19
DAL,Delta Air Lines,14.09,14.26,13.84,13.95,0.1,0.72,12319848,14.94,5.31,,,,22.58
DEL,Deltic Timber,45.04,47.22,44.39,47.19,3.42,7.83,21934,55.99,32.17,0.3,0.64,82.79,2.19
DLX,Deluxe Corp.,20.79,22.12,20.79,22.11,1.48,7.17,465698,23.77,12.1,1,4.52,10.05,49.49
DNR,Denbury Resources,16.38,16.55,16,16.53,0.59,3.7,12047844,19.48,12.45,,,206.63,11.69
HXM,Desarrolladora Homex ADS,25.67,26.96,25.67,26.93,1.95,7.81,410045,44.38,23.06,,,19.1,-19.9
DB,Deutsche Bank,59.54,62.3,58.98,62.03,4.83,8.44,2264797,84.93,55.63,0.5,,5.26,-12.52
DT,Deutsche Telekom ADS,11.02,11.25,11,11.24,0.51,4.75,2256680,15.77,10.57,1.05,9.34,16.06,-23.54
DDR,Developers Diversified Realty,11.29,11.79,10.99,11.73,0.87,8.01,3932259,13.73,4.09,0.08,0.68,,26.67
DDRH,Developers Diversified Realty Dep. Shrs. (Rep. 1/20 of a share of 7.375% Cl H Cum. Redeem. Shares),21.42,21.5,21.27,21.39,0.15,0.71,8900,23.2,9.15,1.84,8.6,,15.31
DDRI,Developers Diversified Realty Dep. Shs,21.6,21.81,21.46,21.58,0.16,0.75,14670,23.25,9.12,1.88,8.71,,15.96
DVN,Devon Energy,61.8,63.39,61.21,63.38,3.09,5.13,6155439,76.79,48.74,0.64,1.01,12.86,-13.77
DV,DeVry,60.28,60.28,56.77,58.06,-1.5,-2.52,2107745,74.36,41.4,0.2,0.34,17.13,2.34
DEXO,Dex One,19.59,20.62,19.39,20.16,1.2,6.33,512197,35,17.6,,,,
DEO,Diageo ADS,60.27,61.5,60.14,61.49,2.27,3.83,834022,71.99,53.12,2.36,3.84,15.69,-11.41
DO,Diamond Offshore Drilling,69.91,70.91,67.01,68.08,-0.47,-0.69,6331275,104.9,65.4,0.5,0.73,7.29,-29.36
DRH,Diamondrock Hospitality,8.74,9.2,8.65,9.16,0.51,5.9,3993554,11.77,5.11,0.33,,,8.15
DSX,Diana Shipping,13.66,14.16,13.51,13.99,0.66,4.95,1152653,19,11.93,0.95,,9.72,-3.38
DHX,Dice Holdings,8.15,8.22,7.85,7.96,0.01,0.13,59412,9.7,3.89,,,41.89,21.53
DKS,Dick's Sporting Goods,27.85,28.67,27.83,28.67,1.12,4.07,1159408,30.83,15.7,,,22.57,15.28
DBD,Diebold,29.41,29.74,29.3,29.7,0.86,2.98,423179,35.2,24.38,1.08,3.64,22.33,4.39
DLR,Digital Realty Trust,56.99,58.01,55.74,57.9,2.16,3.88,1513736,60.93,32.79,1.92,3.32,89.08,15.16
DGI,DigitalGlobe,27.81,28.06,27.61,28,0.77,2.83,221483,29.1,16.95,,,32.56,15.7
DDS,Dillard's,28.07,28.56,27.59,28.49,1.25,4.59,956244,31.22,7.85,0.16,0.56,16.47,54.42
DIN,DineEquity,32.99,34.65,32.95,34.54,2.46,7.67,319283,48.38,19.97,,,,42.2
DFS,Discover Financial Services,13.46,13.73,13.33,13.7,0.53,4.02,6337870,17.36,8.58,0.08,0.58,7.33,-6.87
DIS,Walt Disney,33.6,34.37,33.48,34.37,1.3,3.93,16147915,37.98,22.05,0.35,1.02,17.99,6.57
DLB,Dolby Laboratories Cl A,64.29,66.74,61.01,66.72,3.12,4.91,1185999,69.72,34.14,,,31.03,39.79
DOLE,Dole Food,9.29,9.48,9.02,9.2,-0.04,-0.43,665262,12.87,8.81,,,6.67,-25.87
DG,Dollar General,31.07,31.21,30.36,30.64,0.2,0.66,1255988,31.38,21.3,,,29.46,36.6
DTG,Dollar Thrifty Automotive Group,46.68,47.52,46.41,47.12,1.67,3.67,817251,52.05,7.39,,,14.91,83.99
DOM,Dominion Resources Black Warrior Trust,12.28,12.6,12.28,12.44,0.26,2.14,18000,19.95,11.81,1.1,8.84,10.82,-12.92
D,Dominion Resources (Virginia),39.13,39.28,38.76,39.14,0.58,1.5,3020486,42.56,30.31,1.83,4.68,17.09,0.57
DPZ,Domino's Pizza,13.25,13.4,13.08,13.35,0.33,2.53,796073,16.32,7.05,,,9.74,59.31
UFS,Domtar,60.75,64.16,60.29,64.13,5.71,9.77,695020,79,13.68,0.25,,6.72,15.74
DCI,Donaldson,43.04,44.39,42.66,44.39,1.69,3.96,369516,47.38,31.16,0.48,1.08,25.51,4.35
DRL,Doral Financial,3,3.2,3,3.13,0.19,6.46,651303,7.19,1.75,,,5.91,-13.77
PLOW,Douglas Dynamics,11.85,12.05,11.78,12.05,0.33,2.82,37700,12.24,10.93,,,,
DOV,Dover,44.86,45.61,44.41,45.61,1.86,4.25,1342449,55.5,30.26,1.04,2.28,19.83,9.61
DDE,Dover Downs Gaming&Entertainment,3.33,3.41,3.26,3.26,0.02,0.62,72744,7.45,3.22,0.12,3.68,12.07,-13.76
DVD,Dover Motorsports,1.93,1.97,1.93,1.96,-0.04,-2,15137,2.4,1.1,,,,-6.22
DOW,Dow Chemical,27.17,28.1,27.03,28.07,1.55,5.84,13571290,32.05,14.22,0.6,2.14,51.04,1.59
DPS,Dr Pepper Snapple Group,37.78,38.34,37.57,38.17,0.88,2.36,3065627,38.93,20.41,0.55,,19.09,34.88
RDY,Dr. Reddy's Laboratories ADS,28.11,28.62,28.11,28.6,1.13,4.11,345703,29.37,13.04,0.13,0.45,204.29,18.13
DRC,Dresser-Rand Group,31.89,32.56,31.55,32.53,1.51,4.87,981779,35.9,22.87,,,13.44,2.91
DW,Drew Industries,22.39,22.92,21.99,22.91,1.09,5,168223,28.1,10.19,,,24.9,10.94
DRQ,Dril-Quip,55.23,56.28,53.02,53.55,-0.34,-0.63,1331387,70.78,33.95,,,20.06,-5.19
DD,E.I. DuPont de Nemours,35.86,36.8,35.49,36.79,1.71,4.87,12944233,41.45,23.91,1.64,4.46,13.78,9.27
DCO,Ducommun,19.71,20.12,19.45,20.08,0.85,4.42,58602,24.3,13.5,0.3,1.49,17.93,7.32
DUF,Duff&Phelps Cl A,13.78,13.78,13.56,13.72,0.17,1.25,132896,19.68,13.43,0.24,1.75,22.13,-24.86
DUK,Duke Energy,15.91,15.99,15.78,15.98,0.27,1.72,7445074,17.94,13.73,0.96,6.01,17.96,-7.15
DRE,Duke Realty,11.73,12.11,11.52,12.1,0.71,6.23,2937589,14.35,7.45,0.68,5.62,,-0.58
DNB,Dun&Bradstreet,73.46,73.74,72.91,73.74,1.11,1.53,382158,84.95,69.1,1.4,1.9,13.56,-12.6
DEP,Duncan Energy Partners,25.09,25.49,24.86,25.11,0.39,1.58,126053,28.56,15.07,1.79,7.13,15.89,5.73
DGW,Duoyuan Global Water ADS,20.65,20.98,20.16,20.83,0.92,4.62,182899,44,19.4,,,22.64,-41.78
DYP,Duoyuan Printing,8.49,8.72,8.32,8.7,0.47,5.71,167562,11.23,6.61,,,,8.07
DFT,Dupont Fabros Technology,24.89,25.37,24.63,25.27,1.07,4.42,1932517,25.39,8.25,0.16,,421.17,40.47
DY,Dycom Industries,9.88,9.99,9.66,9.9,0.34,3.56,341495,14.59,7.5,,,52.11,23.29
DCP,DynCorp International Cl A,17.06,17.07,16.92,17.02,0.02,0.12,458996,22.03,10.1,,,11.9,18.61
DYN,Dynegy,5.19,5.26,5.02,5.11,0.03,0.59,4860449,13.35,4.5,,,,-43.54
DX,Dynex Capital,9.13,9.25,8.96,9.24,0.18,1.99,50746,9.49,7.8,0.92,9.96,8.25,5.84
EJ,E-House (China) Holdings ADS,14.14,14.62,14.11,14.54,0.55,3.93,1248963,24.39,13.31,0.25,,11.45,-19.76
EMC,EMC,18.32,18.78,18.24,18.78,0.99,5.56,32717435,20,11.57,,,32.38,7.5
EME,EMCOR Group,24.95,25.43,24.6,25.41,0.99,4.05,693610,29.8,17.88,,,11.82,-5.54
ESV,ENSCO,40.22,41.39,37.43,38.82,-0.6,-1.52,8465370,52.32,32.26,1.4,3.61,7.73,-2.8
EOG,EOG Resources,101.97,106.72,101.45,106.51,6.77,6.79,4022068,114.95,60.29,0.62,0.58,53.52,9.47
EQT,EQT,38.26,38.96,37.62,38.89,1.51,4.04,1638593,47.43,31.4,0.88,2.26,30.15,-11.45
ESE,ESCO Technologies,26.65,26.72,26.25,26.69,0.55,2.1,150682,46.87,25.72,0.24,,18.16,-25.55
XCO,EXCO Resources,16.47,17.18,16.31,17.14,1.03,6.39,3283538,22.52,9.65,0.11,0.64,5.1,-19.27
EXP,Eagle Materials,30.4,31.16,30.05,30.99,1.39,4.7,334212,34.99,21.9,0.4,1.29,44.91,18.96
EGP,EastGroup Properties,36.53,37.61,36,37.5,1.65,4.6,161173,42.23,31.56,2.08,5.55,41.21,-2.04
EMN,Eastman Chemical,60.13,61.72,59.38,61.7,3.06,5.22,862978,71.95,34.57,1.76,2.85,19.28,2.42
EK,Eastman Kodak,5.73,5.95,5.68,5.89,0.38,6.9,8582818,9.08,2.48,,,9.5,39.57
ETN,Eaton Corp.,69.84,70.53,69.08,70.49,2.22,3.25,2204925,81.78,40.28,2,2.84,20.31,10.8
EV,Eaton Vance,30.1,30.46,29.83,30.45,0.91,3.08,1330974,36.08,23.02,0.64,2.1,23.24,0.13
EOT,Eaton Vance National Municipal Opportunities Trust,20.61,20.69,20.43,20.43,-0.05,-0.24,53384,21.3,17.34,1.14,,,6.57
ECL,Ecolab,46.83,47.53,46.63,47.52,1.34,2.9,1499569,49.7,36.25,0.62,1.3,25.14,6.59
EC,Ecopetrol ADS,27.09,27.71,26.74,27.71,1.11,4.17,89552,29.62,20.36,1.03,,14.28,14.22
EIX,Edison International,31.92,32.29,31.81,32.29,0.67,2.12,1713010,36.72,28.71,1.26,3.9,12.47,-7.16
EDR,Education Realty Trust,6.29,6.48,6.24,6.47,0.34,5.55,356033,7.38,3.85,0.2,3.09,,33.68
EW,Edwards Lifesciences,102.46,104,101.8,103.85,2.03,1.99,478330,105.91,60.9,,,14.17,19.57
EP,El Paso Corp.,11.24,11.41,11.08,11.41,0.45,4.11,8898281,12.58,8,0.04,0.35,10.87,16.07
EE,El Paso Electric,20,20.1,19.75,20.08,0.45,2.29,201191,22.15,13.12,,,13.04,-0.99
EPB,El Paso Pipeline Partners,27.53,28.08,27.52,27.78,0.5,1.83,157145,28.87,16.53,1.42,5.11,16.06,7.01
ELN,Elan ADS,5.31,5.66,5.22,5.66,0.42,8.02,3878178,8.59,4.61,,,,-13.19
EGO,Eldorado Gold,16.73,17.17,16.62,17.04,0.47,2.84,4729020,18.62,7.65,0.05,,53.25,20.25
AKOA,Embotelladora Andina (Series A) ADS,16.81,17.74,16.81,17.15,-0.05,-0.29,4300,18.46,13.2,0.87,5.07,13.5,1.18
AKOB,Embotelladora Andina (Series B) ADS,20.71,21.12,20.36,20.7,0.44,2.17,59078,22.9,15.53,1.04,,,1.47
ERJ,Embraer-Empresa Brasileiras de Aeronautica ADS,22.48,22.6,22.03,22.44,0.81,3.74,563462,25.28,14.77,0.72,,9.84,1.49
EM,Emdeon Cl A,13.58,13.75,13.52,13.72,0.33,2.46,346717,18.25,13.37,,,114.33,-10.03
EMS,Emergency Medical Services Cl A,52.78,53.65,52.41,53.61,1.42,2.72,177814,61.83,30.2,,,19.35,-1
EBS,Emergent Biosolutions,15.56,15.77,15.4,15.76,0.5,3.28,71757,19.95,10.5,,,21.89,15.97
ESC,Emeritus,19.75,20.79,19.75,20.77,1.26,6.46,132326,24.83,11,,,,10.77
EMR,Emerson Electric,46.42,47.37,46.15,47.36,1.82,4,4213438,53.73,30.34,1.34,2.83,20.77,11.17
DEI,Douglas Emmett,15.21,15.84,15.04,15.81,0.99,6.68,1900759,17.83,7.75,0.4,2.53,,10.95
EDE,Empire District Electric,18.59,18.59,18.02,18.26,0.3,1.67,339567,20,15.41,1.28,7.01,16.91,-2.51
EIG,Employers Holdings,15.3,15.66,15.13,15.62,0.58,3.86,356332,17.27,11.2,0.24,1.54,8.98,1.83
EDN,Empresa Distribuidora y Comercializadora Norte Cl B ADS,7.18,7.46,7,7.46,0.3,4.19,15928,9.37,4.34,,,7.94,-5.57
EOC,Empresa Nacional de Electricidad ADS,45.58,45.62,44.2,45.04,1.08,2.46,438778,56.2,42.47,1.54,3.42,10.33,-10.4
ICA,Empresas ICA ADS,9.03,9.56,9.03,9.55,0.63,7.06,536821,11,5.75,,,,2.14
ERI,Emrise,0.99,1.1,0.99,1.1,0.09,8.91,51987,1.61,0.52,,,,44.72
ELX,Emulex,10.78,10.9,10.63,10.88,0.3,2.84,1375619,14.34,7.94,,,136,-0.18
EEQ,Enbridge Energy Management,47.43,48.91,47.43,48.73,1.33,2.81,36877,52.47,31.58,4.01,8.23,31.04,-4.71
EEP,Enbridge Energy Partners Cl A,49.96,50.06,49.29,49.79,0.88,1.8,391773,55.74,36.61,4.01,8.05,15.91,-7.26
ENB,Enbridge,44.35,45.04,44,44.73,1.29,2.97,305876,51.12,32.79,1.7,,12.49,-3.22
ECA,EnCana,30,30.9,29.94,30.85,1.59,5.43,2902220,35.63,23.55,0.8,2.59,9.95,-4.75
ENP,Encore Energy Partners,15.92,15.97,15.3,15.48,-0.17,-1.09,416229,21.8,9.5,2.09,13.5,,-21.9
ENH,Endurance Specialty Holdings,36.15,37.51,36.14,37.47,1.67,4.66,471450,39.77,25.59,1,2.67,4.49,0.64
EGN,Energen,44.31,44.65,43.96,44.65,1.29,2.98,302144,49.94,35.38,0.52,1.16,11.6,-4.59
ENR,Energizer Holdings,56.22,56.89,55.96,56.89,1.73,3.14,674674,69.11,50.55,,,12.13,-7.16
EPL,Energy Partners,12.95,13.02,12.25,12.8,-0.18,-1.39,249738,14.62,6.81,,,0.96,49.71
ETE,Energy Transfer Equity,30.62,30.89,30.21,30.71,0.89,2.98,403998,35.51,23.25,2.16,7.03,17.06,0.43
ETP,Energy Transfer Partners,44.52,44.59,43.81,44.11,0.83,1.92,715519,49.99,37.75,3.58,8.12,22.97,-1.91
ES,EnergySolutions,6.54,6.55,6.33,6.39,0.05,0.79,1804427,9.7,5.22,0.1,1.56,11.83,-24.73
ERF,Enerplus Resources Fund Un,21.44,21.93,21.29,21.78,0.82,3.91,817947,25.13,13.76,2.16,,33,-5.14
ENI,Enersis ADS,18.88,19.16,18.83,19.01,0.47,2.54,814691,23.88,16.15,2.1,,8.92,-16.84
ENS,EnerSys,23.31,23.5,23.1,23.5,0.92,4.07,447530,27.23,15.61,,,23.98,7.45
E,ENI ADS,37.43,38.45,37.23,38.45,2.45,6.81,849447,54.81,35.1,2.8,7.28,10.45,-24.03
EBF,Ennis,17.46,18.24,17.17,18.2,1.39,8.27,138455,19.35,10.12,0.62,3.41,13.38,8.4
NPO,EnPro Industries,30.27,30.98,30.08,30.92,1.28,4.32,159483,35.11,15.5,,,,17.08
ETM,Entercom Communications Cl A,12.21,12.89,12.02,12.88,1.01,8.51,182223,16,1.35,,,128.8,82.18
ETR,Entergy,73.73,75.82,73.61,75.82,2.65,3.62,1636962,84.44,71.28,3.32,4.38,12.19,-7.36
EPE,Enterprise GP Holdings,42.63,43.34,42.63,43.29,0.95,2.24,91362,49.62,23.46,2.18,5.04,28.67,11.09
EPD,Enterprise Products Partners,33.02,33.68,33,33.65,1.21,3.73,1439196,36.73,24.16,2.27,6.75,15.37,7.13
ENT,Enterra Energy Trust,2.02,2.14,2.01,2.11,0.12,6.03,344550,3.05,0.99,,,,3.43
